Compound_Name,Type,Project_Name,Location,Developer,Area,Price_EGP,Reference_No,Bedrooms,Bathrooms,Delivery,Finishing,Delivery.1,URL
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,128,"$18,108,810.75",64315.00,2,3,2027,Finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/64315-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,116,"$16,411,109.74",64483.00,2,3,2026,Finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/64483-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,217,"$13,560,000.00",64707.00,4,4,Delivered,not finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/64707-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Townhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,224,"$12,200,000.00",64730.00,3,4,Delivered,semi-finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/64730-townhouse-middle-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Studio,Palm Hills New Cairo,New Cairo,Palm Hills Developments,64,"$40,000,000.00",64962.00,1,1,2027,Finished,2025-07-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/64962-studio-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,222,"$15,086,000.00",65212.00,3,3,Delivered,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/65212-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,390,"$18,100,000.00",65237.00,4,4,Delivered,not finished,2024-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/65237-villa-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Studio,Palm Hills New Cairo,New Cairo,Palm Hills Developments,70,"$5,473,000.00",66232.00,1,1,2027,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/66232-studio-for-sale-at-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,128,"$10,397,000.00",66313.00,2,3,2026,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/66313-apartment-for-sale-at-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,205,"$14,707,000.00",14527.00,4,4,Delivered,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/711-green-5/property/14527-green-5-sheikh-zayed-apartment-4-bedrooms-for-sale
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,900,"$10,115,130.00",16177.00,9,9,Delivered,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/189-zizinia-gardens/property/16177-zizinia-new-cairo-villa-9-bedrooms-for-sale
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Townhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,600,"$17,071,254.00",23564.00,4,5,Delivered,Finished,2027-11-30T00:00:00.000Z,https://www.nawy.com/compound/50-katameya-dunes/property/23564-town-house-for-sale-in-katameya-dunes-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,350,"$13,246,000.00",39193.00,4,5,Delivered,Furnished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/776-marina-1/property/39193-villa-for-sale-in-marina-2-north-coast
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,185,"$70,189,296.00",53850.00,3,3,Delivered,Finished,2024-12-11T00:00:00.000Z,https://www.nawy.com/compound/405-marseilia-beach-3/property/53850-villa-for-sale-in-marseilia-beach-3
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,183,"$6,800,000.00",55349.00,3,3,Delivered,semi-finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/926-neopolis/property/55349-apartment-for-sale-in-neopolis-mostakbal-city
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,145,"$19,066,782.00",62215.00,2,3,Delivered,Finished,2022-05-15T00:00:00.000Z,https://www.nawy.com/compound/639-diar-ii/property/62215-apartment-for-sale-in-diar-ll
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Office,Palm Hills New Cairo,New Cairo,Palm Hills Developments,48,"$14,431,511.65",62438.00,3,2,2027,not finished,2022-06-22T00:00:00.000Z,https://www.nawy.com/compound/1214-the-grey/property/62438-office-for-sale-in-the-gray-in-new-cairo-by-housing-and-development-properties-hdp
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,242,"$80,000,000.00",64956.00,2,3,2026,not finished,2022-10-02T00:00:00.000Z,https://www.nawy.com/compound/972-the-wonder-marq/property/64956-villa-for-sale-in-the-wonder-marq
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Twinhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,298,"$28,465,139.76",66917.00,3,5,Delivered,semi-finished,2023-08-09T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/66917-twinhouse-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,132,"$9,250,000.00",67097.00,2,3,2027,not finished,2024-04-30T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/67097-apartment-for-sale-at-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Townhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,187,"$9,216,668.24",67303.00,3,4,Delivered,not finished,2024-05-22T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/67303-townhouse-for-sale-at-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,70,"$9,903,255.88",67513.00,1,1,2026,Finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/67513-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,128,"$18,108,810.75",67592.00,2,2,2027,Finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/67592-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,172,"$13,560,000.00",67935.00,3,3,2027,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/67935-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,128,"$11,030,656.00",67951.00,2,3,2026,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/67951-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,172,"$11,327,400.00",69721.00,3,4,2027,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/69721-apartment-for-sale-in-palm-hills-new-cairo-
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,172,"$10,010,000.00",69856.00,3,3,2027,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/69856-apartment-for-sale-in-palm-hills-new-cairo3
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,612,"$7,068,911.00",69911.00,6,7,Delivered,not finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/69911-standalone-villa-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,72,"$10,186,206.04",70184.00,1,1,2027,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/70184-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,128,"$15,654,832.00",71839.00,2,3,2026,Finished,2025-01-27T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/71839-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,205,"$6,053,500.00",14527.00,4,4,Delivered,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/711-green-5/property/14527-green-5-sheikh-zayed-apartment-4-bedrooms-for-sale
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,900,"$64,090,465.00",16177.00,9,9,Delivered,Finished,2025-02-01T00:00:00.000Z,https://www.nawy.com/compound/189-zizinia-gardens/property/16177-zizinia-new-cairo-villa-9-bedrooms-for-sale
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Townhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,600,"$22,100,000.00",23564.00,4,5,Delivered,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/50-katameya-dunes/property/23564-town-house-for-sale-in-katameya-dunes-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,350,"$10,647,000.00",39193.00,4,5,Delivered,Furnished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/776-marina-1/property/39193-villa-for-sale-in-marina-2-north-coast
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,185,"$10,968,000.00",53850.00,3,3,Delivered,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/405-marseilia-beach-3/property/53850-villa-for-sale-in-marseilia-beach-3
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,183,"$6,305,750.00",55349.00,3,3,Delivered,semi-finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/926-neopolis/property/55349-apartment-for-sale-in-neopolis-mostakbal-city
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,145,"$19,066,782.00",62215.00,2,3,Delivered,Finished,2022-05-15T00:00:00.000Z,https://www.nawy.com/compound/639-diar-ii/property/62215-apartment-for-sale-in-diar-ll
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Office,Palm Hills New Cairo,New Cairo,Palm Hills Developments,48,"$14,431,511.65",62438.00,3,2,2027,not finished,2022-06-22T00:00:00.000Z,https://www.nawy.com/compound/1214-the-grey/property/62438-office-for-sale-in-the-gray-in-new-cairo-by-housing-and-development-properties-hdp
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,242,"$80,000,000.00",64956.00,2,3,2026,not finished,2022-10-02T00:00:00.000Z,https://www.nawy.com/compound/972-the-wonder-marq/property/64956-villa-for-sale-in-the-wonder-marq
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,158,"$22,353,063.26",73029.00,3,3,2026,Finished,2023-08-09T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/73029-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,131,"$9,250,000.00",73396.00,2,3,2027,Finished,2024-04-30T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/73396-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Studio,Palm Hills New Cairo,New Cairo,Palm Hills Developments,70,"$14,672,881.10",73436.00,1,1,2026,Finished,2024-05-22T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/73436-studio-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,518,"$44,232,788.37",74241.00,6,7,2027,not finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/74241-Villa-for-sale-in-Palm%20Hills%20New%20Cairo-with-1-bedrooms-in-New%20Cairo-by-Palm%20Hills%20Developments
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,174,"$24,616,664.61",74389.00,2,2,Delivered,not finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/74389-an-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Studio,Palm Hills New Cairo,New Cairo,Palm Hills Developments,65,"$13,560,000.00",74557.00,1,2,2026,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/74557-studio-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,772,"$8,920,000.00",74965.00,6,7,Delivered,not finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/74965-a-villa-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Townhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,223,"$6,800,000.00",74975.00,4,4,2027,not finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/74975-townhouse-middle-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,116,"$13,337,888.00",74986.00,2,2,2027,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/74986-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,115,"$13,337,888.00",75078.00,2,3,2026,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75078-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Studio,Palm Hills New Cairo,New Cairo,Palm Hills Developments,72,"$11,050,000.00",75106.00,1,1,2026,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75106-studio-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,116,"$32,419,870.00",75108.00,2,3,2026,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75108-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,205,"$12,743,000.00",14527.00,4,4,Delivered,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/711-green-5/property/14527-green-5-sheikh-zayed-apartment-4-bedrooms-for-sale
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,900,"$32,596,000.00",16177.00,9,9,Delivered,Finished,2025-02-10T00:00:00.000Z,https://www.nawy.com/compound/189-zizinia-gardens/property/16177-zizinia-new-cairo-villa-9-bedrooms-for-sale
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Townhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,600,"$6,420,000.00",23564.00,4,5,Delivered,Finished,2027-03-31T00:00:00.000Z,https://www.nawy.com/compound/50-katameya-dunes/property/23564-town-house-for-sale-in-katameya-dunes-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,350,"$9,881,000.00",39193.00,4,5,Delivered,Furnished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/776-marina-1/property/39193-villa-for-sale-in-marina-2-north-coast
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,185,"$18,150,000.00",53850.00,3,3,Delivered,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/405-marseilia-beach-3/property/53850-villa-for-sale-in-marseilia-beach-3
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,183,"$15,498,000.00",55349.00,3,3,Delivered,semi-finished,2026-04-30T00:00:00.000Z,https://www.nawy.com/compound/926-neopolis/property/55349-apartment-for-sale-in-neopolis-mostakbal-city
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,145,"$19,066,782.00",62215.00,2,3,Delivered,Finished,2022-05-15T00:00:00.000Z,https://www.nawy.com/compound/639-diar-ii/property/62215-apartment-for-sale-in-diar-ll
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Office,Palm Hills New Cairo,New Cairo,Palm Hills Developments,48,"$14,431,511.65",62438.00,3,2,2027,not finished,2022-06-22T00:00:00.000Z,https://www.nawy.com/compound/1214-the-grey/property/62438-office-for-sale-in-the-gray-in-new-cairo-by-housing-and-development-properties-hdp
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,242,"$80,000,000.00",64956.00,2,3,2026,not finished,2022-10-02T00:00:00.000Z,https://www.nawy.com/compound/972-the-wonder-marq/property/64956-villa-for-sale-in-the-wonder-marq
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,72,"$10,186,206.04",75303.00,1,1,2027,Finished,2023-08-09T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75303-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,172,"$9,250,000.00",75758.00,3,3,2027,Finished,2024-04-30T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75758-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,172,"$24,333,714.44",75762.00,3,3,2027,Finished,2024-05-22T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75762-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,128,"$18,108,810.75",75765.00,2,3,2027,Finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75765-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,254,"$21,689,436.77",75835.00,4,4,2026,not finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75835-villa-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,137,"$13,560,000.00",75838.00,2,3,2027,Finished,2026-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75838-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Twinhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,298,"$11,430,000.00",75857.00,3,5,Delivered,not finished,2025-02-12T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75857-twinhouse-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Studio,Palm Hills New Cairo,New Cairo,Palm Hills Developments,70,"$12,886,293.00",75924.00,1,1,2027,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75924-studio-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,116,"$8,526,404.00",75968.00,2,3,2027,Finished,2026-10-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/75968-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,131,"$6,540,000.00",76008.00,2,3,2027,Finished,2026-04-30T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/76008-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,136,"$11,068,000.00",76024.00,2,3,2026,Finished,2026-03-31T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/76024-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,212,"$59,577,000.00",76309.00,4,3,Delivered,not finished,2025-02-22T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/76309-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,205,"$16,530,840.00",14527.00,4,4,Delivered,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/711-green-5/property/14527-green-5-sheikh-zayed-apartment-4-bedrooms-for-sale
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,900,"$11,632,660.00",16177.00,9,9,Delivered,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/189-zizinia-gardens/property/16177-zizinia-new-cairo-villa-9-bedrooms-for-sale
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Townhouse,Palm Hills New Cairo,New Cairo,Palm Hills Developments,600,"$8,602,625.00",23564.00,4,5,Delivered,Finished,2027-12-31T00:00:00.000Z,https://www.nawy.com/compound/50-katameya-dunes/property/23564-town-house-for-sale-in-katameya-dunes-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,350,"$46,701,311.00",39193.00,4,5,Delivered,Furnished,2025-02-28T00:00:00.000Z,https://www.nawy.com/compound/776-marina-1/property/39193-villa-for-sale-in-marina-2-north-coast
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,185,"$59,594,628.00",53850.00,3,3,Delivered,Finished,2025-02-28T00:00:00.000Z,https://www.nawy.com/compound/405-marseilia-beach-3/property/53850-villa-for-sale-in-marseilia-beach-3
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,183,"$80,463,528.00",55349.00,3,3,Delivered,semi-finished,2025-02-28T00:00:00.000Z,https://www.nawy.com/compound/926-neopolis/property/55349-apartment-for-sale-in-neopolis-mostakbal-city
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,145,"$19,066,782.00",62215.00,2,3,Delivered,Finished,2022-05-15T00:00:00.000Z,https://www.nawy.com/compound/639-diar-ii/property/62215-apartment-for-sale-in-diar-ll
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Office,Palm Hills New Cairo,New Cairo,Palm Hills Developments,48,"$14,431,511.65",62438.00,3,2,2027,not finished,2022-06-22T00:00:00.000Z,https://www.nawy.com/compound/1214-the-grey/property/62438-office-for-sale-in-the-gray-in-new-cairo-by-housing-and-development-properties-hdp
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,242,"$80,000,000.00",64956.00,2,3,2026,not finished,2022-10-02T00:00:00.000Z,https://www.nawy.com/compound/972-the-wonder-marq/property/64956-villa-for-sale-in-the-wonder-marq
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,171,"$24,192,239.36",76321.00,3,3,2027,Finished,2023-08-09T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/76321-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,131,"$9,250,000.00",76801.00,2,3,2026,Finished,2024-04-30T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/76801-apartment-for-sale-in-sale-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Studio,Palm Hills New Cairo,New Cairo,Palm Hills Developments,72,"$15,092,106.27",76819.00,1,1,2026,Finished,2024-05-22T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/76819-studio-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Apartment,Palm Hills New Cairo,New Cairo,Palm Hills Developments,131,"$18,533,236.00",76870.00,2,3,2026,Finished,2024-09-17T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/76870-apartment-for-sale-in-palm-hills-new-cairo
Palm Hills New Cairo in New Cairo by Palm Hills Developments,Villa,Palm Hills New Cairo,New Cairo,Palm Hills Developments,608,"$51,918,021.87",76996.00,6,7,Delivered,not finished,2027-06-29T00:00:00.000Z,https://www.nawy.com/compound/148-palm-hills-new-cairo/property/76996-villa-for-sale-in-palm-hills-new-cairo
